Day,Weigth
1,88.0
2,88.4
3,88.0
4,87.0
5,87.4
6,88.2
7,87.7
8,86.6
9,87.7
10,87.2
11,88.2
12,86.1
13,87.0
14,86.2
15,87.6
16,87.0
17,86.8
18,85.4
19,85.3
20,85.6
21,87.6
22,86.9
23,85.6
24,85.5
25,86.2
26,86.2
27,85.9
28,85.7
29,84.9
30,85.8
